iter	Logloss
0	0.6864215872
1	0.680744088
2	0.6748900525
3	0.6700717259
4	0.664642115
5	0.6605803696
6	0.6574629785
7	0.6535289066
8	0.6505488453
9	0.6477849934
10	0.6447324557
11	0.6426371811
12	0.6407988854
13	0.6391940277
14	0.636933402
15	0.6355111363
16	0.6327434888
17	0.6313908236
18	0.6288440153
19	0.627196662
20	0.625815623
21	0.624677077
22	0.6228277471
23	0.6214854981
24	0.6192911
25	0.6177632598
26	0.6160592315
27	0.6145030566
28	0.6131079892
29	0.6114950084
30	0.6103621893
31	0.6089026532
32	0.6074401787
33	0.6064566851
34	0.6056388285
35	0.6046856701
36	0.6038812455
37	0.6029717615
38	0.6022293254
39	0.6010190141
40	0.5999604498
41	0.5992181114
42	0.5982091195
43	0.5968721888
44	0.5960526194
45	0.5948632879
46	0.5940805806
47	0.5928993675
48	0.5922258966
49	0.5913781595
50	0.5907956986
51	0.5897079713
52	0.5889413292
53	0.588194456
54	0.5874826775
55	0.5867595497
56	0.5858868691
57	0.5854199865
58	0.5848687285
59	0.5841945334
60	0.5832967644
61	0.582687221
62	0.582027307
63	0.5815051388
64	0.5810983983
65	0.5805002071
66	0.5795888706
67	0.5790380771
68	0.5783203962
69	0.5776254837
70	0.5768523934
71	0.5759791675
72	0.5749762418
73	0.5742873704
74	0.5737686137
75	0.5732090945
76	0.5727100132
77	0.5721735625
78	0.5712595847
79	0.5705678921
80	0.5699695829
81	0.5692320707
82	0.5685720989
83	0.5677728167
84	0.5672532661
85	0.5662281852
86	0.565477768
87	0.564716489
88	0.563870711
89	0.5633598016
90	0.5628605813
91	0.5624711997
92	0.5619532047
93	0.5614727936
94	0.5610481315
95	0.5607877744
96	0.5602392423
97	0.5595152944
98	0.5587837531
99	0.5581689127
100	0.5577347579
101	0.5573214039
102	0.5569808652
103	0.5563082689
104	0.5556249691
105	0.5549722925
106	0.5544070493
107	0.5538545234
108	0.5532861843
109	0.5525891819
110	0.5520475278
111	0.5515330158
112	0.550893368
113	0.550098752
114	0.5497215559
115	0.549179154
116	0.5486100438
117	0.5477825861
118	0.5469521111
119	0.5462639711
120	0.5456101471
121	0.5450305446
122	0.5446769831
123	0.5442484445
124	0.5437748878
125	0.5431704968
126	0.5425678256
127	0.5418276607
128	0.5415053314
129	0.5413250705
130	0.5409459037
131	0.5407020326
132	0.540061366
133	0.5398012581
134	0.5394861682
135	0.5386911729
136	0.5382261675
137	0.5377078592
138	0.5370990923
139	0.5366975704
140	0.5363484676
141	0.5357584898
142	0.5351993517
143	0.5346691981
144	0.5339314189
145	0.5335722977
146	0.533323194
147	0.5328484088
148	0.5322205358
149	0.5314899587
150	0.5309606404
151	0.5306669139
152	0.5304246419
153	0.529529224
154	0.5287368761
155	0.5283647788
156	0.5279893355
157	0.5277856587
158	0.5272894613
159	0.5267331251
160	0.5260606196
161	0.5252703903
162	0.5248519091
163	0.5241310195
164	0.5237521337
165	0.5234425367
166	0.5228451689
167	0.5220739904
168	0.5215523639
169	0.5211757639
170	0.5206274294
171	0.5198032313
172	0.5190109059
173	0.5186757239
174	0.5181895274
175	0.5176395574
176	0.5167607583
177	0.5158418033
178	0.5151049342
179	0.5144391448
180	0.513882496
181	0.5130830491
182	0.5129130671
183	0.5121858424
184	0.5121132411
185	0.5115503317
186	0.5112762947
187	0.5104723891
188	0.5098531075
189	0.5096712261
190	0.5090134313
191	0.5084009951
192	0.5080013457
193	0.5072179788
194	0.506481392
195	0.5056298846
196	0.5045923168
197	0.5039526618
198	0.5035044508
199	0.5029037306
200	0.5024579139
201	0.5018359041
202	0.50154376
203	0.5008095524
204	0.5000960155
205	0.4992902887
206	0.4988032022
207	0.4980458724
208	0.4976089806
209	0.4968593787
210	0.4961490456
211	0.4956649306
212	0.4950357754
213	0.4943777539
214	0.4937077369
215	0.4929947009
216	0.4923834175
217	0.4917649189
218	0.4912337646
219	0.4909456111
220	0.4902286263
221	0.4897438646
222	0.4891993284
223	0.4888862028
224	0.4879793163
225	0.4873552497
226	0.4868964148
227	0.486539712
228	0.4857982419
229	0.4851594139
230	0.484570285
231	0.4839726534
232	0.4836791217
233	0.4829501073
234	0.482591254
235	0.4821370453
236	0.4814037344
237	0.4807083631
238	0.480025913
239	0.479513266
240	0.4788162993
241	0.4782330628
242	0.4776210869
243	0.4769712705
244	0.4764888716
245	0.4757649009
246	0.4752141275
247	0.4745543146
248	0.4742573084
249	0.4735823094
250	0.4727783274
251	0.4722021935
252	0.4717016494
253	0.4710370116
254	0.4706533649
255	0.470164166
256	0.4693438398
257	0.4687302319
258	0.4683308534
259	0.467753817
260	0.4672074258
261	0.4667347615
262	0.4662343597
263	0.4657426348
264	0.4652655088
265	0.4647160619
266	0.464097386
267	0.463563105
268	0.463344424
269	0.4630034114
