iter	Passed	Remaining
0	6	3075
1	13	3269
2	18	3078
3	25	3187
4	32	3191
5	38	3210
6	46	3279
7	51	3168
8	56	3088
9	61	3011
10	68	3056
11	75	3059
12	82	3075
13	89	3090
14	95	3077
15	101	3059
16	106	3034
17	112	3015
18	118	2996
19	123	2952
20	129	2947
21	134	2932
22	140	2924
23	147	2919
24	153	2918
25	158	2898
26	165	2895
27	172	2901
28	178	2904
29	184	2895
30	192	2910
31	199	2916
32	206	2920
33	212	2910
34	219	2913
35	225	2911
36	233	2922
37	240	2923
38	248	2931
39	253	2918
40	259	2905
41	266	2903
42	271	2890
43	276	2869
44	285	2888
45	289	2854
46	293	2824
47	300	2831
48	308	2836
49	315	2836
50	320	2825
51	327	2820
52	332	2802
53	338	2798
54	345	2796
55	350	2782
56	357	2776
57	362	2764
58	367	2746
59	372	2735
60	377	2715
61	381	2698
62	388	2691
63	393	2677
64	399	2673
65	405	2665
66	410	2655
67	418	2658
68	423	2644
69	427	2626
70	430	2603
71	436	2592
72	440	2578
73	446	2571
74	452	2564
75	457	2551
76	463	2543
77	470	2545
78	475	2536
79	481	2526
80	486	2516
81	492	2509
82	495	2491
83	499	2474
84	505	2467
85	511	2460
86	515	2448
87	520	2437
88	525	2425
89	528	2408
90	534	2402
91	540	2397
92	547	2395
93	554	2395
94	559	2385
95	566	2382
96	572	2377
97	578	2374
98	585	2370
99	594	2376
100	601	2376
101	608	2372
102	613	2364
103	619	2360
104	623	2347
105	627	2333
106	633	2326
107	638	2317
108	644	2310
109	651	2309
110	657	2304
111	662	2295
112	669	2292
113	674	2284
114	681	2280
115	687	2275
116	693	2271
117	699	2265
118	705	2257
119	710	2249
120	715	2241
121	721	2235
122	725	2224
123	729	2212
124	734	2204
125	738	2192
126	742	2181
127	747	2172
128	752	2163
129	757	2156
130	762	2146
131	768	2142
132	774	2136
133	780	2131
134	786	2126
135	792	2120
136	798	2114
137	805	2113
138	812	2109
139	819	2108
140	826	2104
141	832	2098
142	836	2087
143	840	2078
144	845	2068
145	851	2064
146	857	2058
147	862	2050
148	867	2044
149	874	2041
150	881	2037
151	885	2028
152	891	2021
153	895	2012
154	901	2006
155	907	2001
156	914	1997
157	919	1989
158	924	1982
159	930	1976
160	933	1966
161	937	1956
162	941	1946
163	945	1936
