iter	Passed	Remaining
0	8	4484
1	11	2857
2	15	2608
3	17	2230
4	20	2010
5	23	1909
6	24	1751
7	27	1671
8	29	1593
9	31	1519
10	32	1463
11	35	1435
12	37	1405
13	40	1388
14	42	1359
15	44	1346
16	47	1342
17	48	1309
18	50	1282
19	51	1246
20	54	1240
21	55	1209
22	57	1199
23	59	1177
24	61	1167
25	63	1163
26	65	1154
27	67	1133
28	69	1132
29	72	1129
30	74	1126
31	77	1137
32	82	1163
33	84	1157
34	86	1154
35	89	1150
36	91	1146
37	94	1147
38	96	1142
39	98	1129
40	99	1113
41	101	1107
42	104	1109
43	106	1105
44	108	1101
45	111	1100
46	114	1099
47	116	1094
48	118	1093
49	120	1084
50	122	1080
51	124	1076
52	127	1078
53	130	1075
54	132	1072
55	135	1071
56	137	1068
57	139	1065
58	142	1062
59	144	1062
60	147	1058
61	149	1056
62	151	1053
63	153	1048
64	155	1040
65	156	1030
66	159	1028
67	161	1025
68	163	1019
69	165	1016
70	168	1015
71	169	1010
72	172	1006
73	174	1004
74	179	1018
75	182	1016
76	185	1017
77	187	1016
78	190	1013
79	194	1022
80	196	1015
81	198	1010
82	200	1007
83	202	1000
84	204	999
85	206	992
86	208	991
87	211	988
88	213	985
89	214	978
90	217	977
91	219	975
92	221	971
93	223	967
94	226	964
95	228	959
96	229	953
97	231	951
98	234	949
99	236	946
100	239	944
101	242	945
102	243	939
103	245	935
104	248	934
105	250	930
106	252	927
107	254	923
108	256	920
109	259	918
110	261	917
111	264	917
112	266	914
113	269	911
114	271	909
115	276	916
116	279	914
117	282	913
118	284	911
119	287	909
120	290	909
121	292	906
122	293	901
123	296	900
124	299	898
125	301	896
126	304	895
127	307	893
128	309	889
129	311	886
130	313	883
131	316	880
132	318	878
133	321	877
134	323	874
135	325	871
136	327	868
137	331	868
138	333	866
139	335	863
140	338	862
141	340	858
142	343	857
143	345	854
144	347	849
145	349	847
146	351	844
147	353	841
148	355	836
149	357	834
150	359	831
151	361	828
152	364	825
153	366	823
154	369	821
155	373	823
156	377	823
157	380	822
158	382	819
159	384	816
160	386	814
161	389	812
162	391	809
163	392	805
164	395	802
165	398	801
166	404	806
167	406	803
168	408	800
169	412	800
170	414	797
171	416	794
172	419	792
173	421	789
174	423	787
175	425	784
176	428	782
177	430	779
178	433	776
179	435	774
180	438	772
181	439	768
182	442	766
183	444	764
184	447	761
185	449	758
186	451	755
187	453	753
188	456	750
189	458	747
190	461	746
191	463	743
192	465	741
193	469	739
194	472	739
195	476	739
196	480	739
197	486	741
198	488	738
199	490	735
200	493	733
201	495	730
202	497	727
203	499	724
204	502	722
205	504	719
206	505	715
207	508	713
208	510	710
209	512	707
210	514	704
211	516	701
212	518	699
213	521	696
214	523	693
215	526	691
216	528	689
217	530	685
218	531	682
219	533	679
220	536	676
221	537	673
222	539	670
223	542	668
224	544	665
225	546	662
226	547	658
227	550	657
228	552	654
229	554	650
230	557	649
231	559	646
232	562	644
233	563	640
234	568	641
235	576	645
236	582	646
237	589	648
238	595	650
239	601	651
240	604	649
241	609	649
242	616	651
243	623	653
244	631	656
245	637	658
246	646	661
247	652	663
248	658	663
249	664	664
250	669	663
251	673	663
252	679	663
253	685	664
254	690	663
255	697	664
256	703	665
257	711	667
258	718	668
259	724	668
260	731	669
261	737	670
262	746	672
263	751	671
264	756	670
265	761	669
266	766	668
267	772	669
268	776	667
269	779	664
270	783	661
271	785	658
272	787	655
273	789	651
274	793	649
275	797	647
276	803	646
277	807	645
278	811	642
279	817	642
280	823	641
281	828	640
282	835	640
283	841	639
284	847	639
285	852	637
286	857	636
287	863	635
288	869	634
289	872	632
290	874	627
291	876	624
292	879	621
293	881	617
294	882	613
295	885	610
296	887	606
297	890	603
298	893	600
299	897	598
300	898	593
301	901	591
302	903	587
303	905	583
304	906	579
305	908	575
306	911	572
307	913	569
308	914	565
309	917	562
310	918	558
311	920	554
312	922	551
313	923	547
314	926	543
315	928	540
316	930	537
317	933	534
318	936	531
319	938	527
320	940	524
321	943	521
322	946	518
323	948	515
324	950	512
325	953	508
326	955	505
327	958	502
328	960	499
329	963	496
330	966	493
331	970	491
332	972	487
333	974	484
334	976	481
335	978	477
336	981	474
337	983	471
338	985	468
339	987	464
340	989	461
341	992	458
342	994	455
343	997	452
344	1000	449
345	1003	446
346	1007	444
347	1019	445
348	1028	444
349	1032	442
350	1039	441
351	1045	439
352	1049	437
353	1051	433
354	1053	430
355	1055	426
356	1063	425
357	1071	424
358	1078	423
359	1083	421
360	1086	418
361	1092	416
362	1096	413
363	1102	411
364	1107	409
365	1113	407
366	1119	405
367	1125	403
368	1133	402
369	1139	400
370	1143	397
371	1150	395
372	1157	393
373	1162	391
374	1168	389
375	1172	386
376	1178	384
377	1183	381
378	1188	379
379	1195	377
380	1201	375
381	1206	372
382	1212	370
383	1217	367
384	1222	365
385	1227	362
386	1233	360
387	1239	357
388	1245	355
389	1249	352
390	1252	349
391	1257	346
392	1261	343
393	1266	340
394	1270	337
395	1273	334
396	1278	331
397	1282	328
398	1288	326
399	1293	323
400	1297	320
401	1302	317
402	1306	314
403	1309	311
404	1313	308
405	1317	305
406	1321	301
407	1324	298
408	1328	295
409	1331	292
410	1335	289
411	1338	285
412	1342	282
413	1346	279
414	1349	276
415	1354	273
416	1360	270
417	1364	267
418	1369	264
419	1375	262
420	1381	259
421	1386	256
422	1390	253
423	1395	250
424	1402	247
425	1408	244
426	1415	242
427	1419	238
428	1425	235
429	1431	233
430	1434	229
431	1438	226
432	1442	223
433	1447	220
434	1452	216
435	1457	213
436	1462	210
437	1467	207
438	1473	204
439	1480	201
440	1485	198
441	1491	195
442	1496	192
443	1503	189
444	1510	186
445	1517	183
446	1523	180
447	1527	177
448	1534	174
449	1541	171
450	1548	168
451	1554	165
452	1562	162
453	1567	158
454	1574	155
455	1581	152
456	1588	149
457	1594	146
458	1600	143
459	1607	139
460	1614	136
461	1621	133
462	1628	130
463	1635	126
464	1643	123
465	1651	120
466	1657	117
467	1662	113
468	1667	110
469	1670	106
470	1678	103
471	1684	99
472	1690	96
473	1697	93
474	1703	89
475	1709	86
476	1715	82
477	1720	79
478	1723	75
479	1727	71
480	1731	68
481	1734	64
482	1738	61
483	1743	57
484	1747	54
485	1751	50
486	1759	46
487	1765	43
488	1770	39
489	1775	36
490	1782	32
491	1787	29
492	1791	25
493	1796	21
494	1800	18
495	1804	14
496	1809	10
497	1816	7
498	1823	3
499	1827	0
