iter	Logloss
0	0.6867031306
1	0.6806390502
2	0.6750906275
3	0.6695131123
4	0.6645926952
5	0.6609664695
6	0.6561408225
7	0.6532074705
8	0.6495274491
9	0.6453052572
10	0.6426172924
11	0.6403195179
12	0.6370552327
13	0.6346288651
14	0.6326503104
15	0.6306402142
16	0.6279864184
17	0.626133084
18	0.6236884846
19	0.6212785549
20	0.619493424
21	0.6179698179
22	0.6170630762
23	0.6159944503
24	0.6138623495
25	0.6123219423
26	0.6111289033
27	0.6099368295
28	0.6089738918
29	0.6076384097
30	0.6058223022
31	0.6050460184
32	0.6032580478
33	0.6017302067
34	0.6007431819
35	0.5991615712
36	0.5984417134
37	0.5974993116
38	0.5967326006
39	0.5960366055
40	0.5949336614
41	0.5939211468
42	0.5924119107
43	0.5919118694
44	0.5913252402
45	0.5904495251
46	0.589724328
47	0.5887104411
48	0.5874516753
49	0.5865716918
50	0.5855344221
51	0.5848556006
52	0.5840075426
53	0.5833411925
54	0.5825762147
55	0.5819672846
56	0.5811645535
57	0.5802460781
58	0.5795094777
59	0.5782623306
60	0.5775199057
61	0.5768585358
62	0.5762407269
63	0.5754796125
64	0.5747072863
65	0.5740414034
66	0.5731591956
67	0.5727002584
68	0.5717042935
69	0.57132134
70	0.5702172852
71	0.5698953878
72	0.5691532083
73	0.5685101227
74	0.5678423415
75	0.5672498653
76	0.5667519669
77	0.5658479754
78	0.5651014993
79	0.5642240596
80	0.5633104521
81	0.5626979761
82	0.562057628
83	0.5616923424
84	0.5611188901
85	0.5603635568
86	0.5599428405
87	0.559092517
88	0.5583760388
89	0.5578642429
90	0.5572904091
91	0.5569949568
92	0.5564184719
93	0.5558115159
94	0.5550716521
95	0.5543861379
96	0.5537720442
97	0.5528689184
98	0.5522218644
99	0.5517862335
100	0.5513642169
101	0.5504127749
102	0.549968797
103	0.5497594466
104	0.549169487
105	0.5487237966
106	0.5481331827
107	0.5476084278
108	0.5472809558
109	0.546858379
110	0.5461399846
111	0.5455690427
112	0.5451662165
113	0.5444504123
114	0.5439568497
115	0.5434840009
116	0.5430877051
117	0.5425497522
118	0.5420836548
119	0.5418715779
120	0.5413220786
121	0.5405273897
122	0.5400086427
123	0.539388944
124	0.5388260025
125	0.5383927597
126	0.5379992406
127	0.5372354622
128	0.5368071379
129	0.5364401552
130	0.5362369447
131	0.5355236089
132	0.5348342405
133	0.534711275
134	0.534256657
135	0.5337495992
136	0.5335217801
137	0.5329695699
138	0.5326569352
139	0.5323299645
140	0.5317203383
141	0.5314756724
142	0.5311269951
143	0.5307346549
144	0.5302397334
145	0.5298432896
146	0.529009261
147	0.5283849572
148	0.5280493235
149	0.5275760927
150	0.5272808131
151	0.5267696241
152	0.5264559982
153	0.5258775932
154	0.525387061
155	0.5250859226
156	0.5246851862
157	0.5242036254
158	0.5235812466
159	0.5229801795
160	0.5219613172
161	0.5210297921
162	0.5203479833
163	0.5195727498
164	0.5192191902
165	0.5189968516
166	0.5185815001
167	0.5180451048
168	0.5174270214
169	0.516921404
170	0.5164614418
171	0.5160411293
172	0.5154216617
173	0.5150511499
174	0.5144899884
175	0.5140475471
176	0.5136178557
177	0.5128953685
178	0.5120811203
179	0.5114357924
180	0.5107857722
181	0.5099587074
182	0.5092713827
183	0.508769544
184	0.5080509581
185	0.5076562508
186	0.5073216167
187	0.5066878171
188	0.5064053127
189	0.5055855656
190	0.5052198686
191	0.5048671074
192	0.5042877009
193	0.5033904331
194	0.5030678443
195	0.5026277476
196	0.5022125624
197	0.5014412177
198	0.5007939456
199	0.5002400308
200	0.4995965585
201	0.4988411264
202	0.4982153006
203	0.4976092652
204	0.4968336222
205	0.4963246005
206	0.4953773642
207	0.4950200261
208	0.4944112647
209	0.4937437824
210	0.4930368125
211	0.4922634577
212	0.4917211329
213	0.4911950744
214	0.4907584011
215	0.489759187
216	0.4892727382
217	0.4886634057
218	0.48792126
219	0.4874842994
220	0.4869801689
221	0.4864113971
222	0.4858473496
223	0.4851032765
224	0.484567322
225	0.4838632258
226	0.4833502842
227	0.4829742803
228	0.4826516771
229	0.4822740864
230	0.4814689853
231	0.480841038
232	0.4802485602
233	0.4796248102
234	0.4788481876
235	0.4784920622
236	0.4784244886
237	0.4777076796
238	0.4770038794
239	0.4763876889
240	0.4761362188
241	0.4755176331
242	0.4749149574
243	0.4742531577
244	0.4737998805
245	0.4734142059
246	0.4726970245
247	0.4726040996
248	0.4719065118
249	0.4718768273
250	0.4712728346
251	0.4705071443
252	0.4697388385
253	0.4692271497
254	0.4685288591
255	0.4678145896
256	0.4672738379
257	0.4667941425
258	0.4662924098
259	0.4658485452
260	0.465269127
261	0.4649532837
262	0.464659166
263	0.4640594902
264	0.463474567
265	0.4631125485
266	0.4625059801
267	0.4619170564
268	0.4614206654
269	0.4609937094
270	0.4606138179
271	0.4604918919
272	0.4601366355
273	0.4597614235
274	0.4588120343
275	0.458269965
276	0.457884776
277	0.4571348535
278	0.4564861374
279	0.4560182169
280	0.4554751622
281	0.4548916763
282	0.4543048253
283	0.4536868445
284	0.453287983
285	0.4527079011
286	0.4522391022
287	0.4517629208
288	0.4516803583
289	0.4511906803
290	0.4506035018
291	0.4499908493
292	0.4496148572
293	0.4491987482
294	0.4487947127
295	0.4480992543
296	0.4476440304
297	0.4471134308
298	0.4465442601
299	0.4458663205
300	0.4453385848
301	0.4453087134
302	0.4446279311
303	0.4441715106
304	0.4437377254
305	0.4432799654
306	0.4427534438
307	0.4425017554
308	0.442089131
309	0.4416294771
310	0.441169918
311	0.4406918548
312	0.4401686436
313	0.4393979293
314	0.4392444501
315	0.4387244955
316	0.4383105867
317	0.4382589518
318	0.43781184
319	0.437449347
320	0.4369462341
321	0.4364804407
322	0.4358632468
323	0.4353083609
324	0.4346794561
325	0.4342792034
326	0.4339133472
327	0.4335871747
328	0.4334628204
329	0.433107192
330	0.4324511135
331	0.4320576992
332	0.431504051
333	0.431177907
334	0.4305978253
335	0.4302066574
336	0.4297339928
337	0.4294003962
338	0.4293672305
339	0.4289762325
340	0.4286019337
341	0.4281811864
342	0.4279109398
343	0.4276062831
344	0.4270685382
345	0.4265542153
346	0.426518206
347	0.4260195297
348	0.425752767
349	0.4251492095
350	0.424467776
