iter	Passed	Remaining
432	2033	314
433	2034	309
434	2036	304
435	2038	299
436	2041	294
437	2045	289
438	2046	284
439	2049	279
440	2051	274
441	2054	269
442	2057	264
443	2059	259
444	2061	254
445	2064	249
446	2067	245
447	2069	240
448	2071	235
449	2074	230
450	2077	225
451	2079	220
452	2081	216
453	2084	211
454	2086	206
455	2089	201
456	2091	196
457	2094	192
458	2097	187
459	2100	182
460	2102	177
461	2104	173
462	2108	168
463	2112	163
464	2115	159
465	2117	154
466	2119	149
467	2122	145
468	2123	140
469	2126	135
470	2128	131
471	2130	126
472	2132	121
473	2135	117
474	2138	112
475	2142	108
476	2143	103
477	2146	98
478	2148	94
479	2150	89
480	2152	85
481	2154	80
482	2157	75
483	2160	71
484	2162	66
485	2165	62
486	2167	57
487	2169	53
488	2173	48
489	2175	44
490	2176	39
491	2179	35
492	2180	30
493	2182	26
494	2185	22
495	2188	17
496	2190	13
497	2193	8
498	2195	4
499	2196	0
