iter	Logloss
0	0.687076076
1	0.6809055243
2	0.6755893125
3	0.6714325336
4	0.6674007168
5	0.6639321596
6	0.6602033208
7	0.6566518665
8	0.6523434521
9	0.6493417864
10	0.6480873684
11	0.6454417921
12	0.6431678628
13	0.6396980557
14	0.6369346681
15	0.6349932289
16	0.6333562909
17	0.6314677345
18	0.6292481934
19	0.6280550638
20	0.6258052238
21	0.623660406
22	0.6218172039
23	0.6202449852
24	0.6187457179
25	0.6172670279
26	0.6151955547
27	0.6138212587
28	0.6128408359
29	0.6113279882
30	0.6100568937
31	0.6090268538
32	0.6081487841
33	0.6071199739
34	0.6058988536
35	0.6048908745
36	0.6038141111
37	0.6027077096
38	0.6013100123
39	0.6003287173
40	0.5991350455
41	0.5979331061
42	0.5965647376
43	0.5956273994
44	0.5952670429
45	0.5942995623
46	0.5937891476
47	0.5928438111
48	0.591889099
49	0.5910321766
50	0.5899538461
51	0.5888688935
52	0.587596271
53	0.586847947
54	0.5861267524
55	0.5853341562
56	0.5846317506
57	0.5839109898
58	0.5832652383
59	0.5823354111
60	0.5814582501
61	0.5807569105
62	0.5800553817
63	0.5794381548
64	0.5788898083
65	0.5780890669
66	0.5773561625
67	0.5768266983
68	0.5762296334
69	0.5753861457
70	0.575154461
71	0.5745723085
72	0.5737308623
73	0.5731387841
74	0.5723826063
75	0.5718119036
76	0.5712123312
77	0.5703924583
78	0.5696100329
79	0.5691377212
80	0.5685845815
81	0.5679146416
82	0.5672189114
83	0.566777062
84	0.5660464203
85	0.5653115894
86	0.565013833
87	0.5645632995
88	0.5639596256
89	0.5635541924
90	0.5631348604
91	0.5627553779
92	0.5622564613
93	0.5616493452
94	0.5611369639
95	0.5606725401
96	0.5601541862
97	0.5597210869
98	0.5589696715
99	0.5586759541
100	0.5580943026
101	0.5573927175
102	0.557203117
103	0.5566669471
104	0.5561136853
105	0.555195932
106	0.5543857693
107	0.5534115738
108	0.5530534359
109	0.5522160067
110	0.5515494824
111	0.5508085481
112	0.5503622284
113	0.549694271
114	0.5493469482
115	0.5488702224
116	0.5485440319
117	0.5478604941
118	0.5472804777
119	0.5466549322
120	0.5460578794
121	0.5456937675
122	0.5451643369
123	0.5447211964
124	0.5440768163
125	0.5432201372
126	0.5424443655
127	0.5416494957
128	0.541131913
129	0.5408254161
130	0.54039971
131	0.5401125502
132	0.5399009859
133	0.5394175239
134	0.5390205996
135	0.5387500639
136	0.5382575756
137	0.5379600838
138	0.5372351745
139	0.5364905168
140	0.535786453
141	0.5352584854
142	0.5345008674
143	0.5340635448
144	0.5336565301
145	0.5331769741
146	0.532434423
147	0.5317848085
148	0.5309019522
149	0.5303798229
150	0.5297884142
151	0.5294973896
152	0.528902622
153	0.5286204155
154	0.5280982958
155	0.5280464524
156	0.5276369385
157	0.5269108974
158	0.5265976731
159	0.525822358
160	0.5250061838
161	0.5245091376
162	0.5242070655
163	0.5239532537
164	0.5234723929
