iter	Passed	Remaining
0	3	1867
1	6	1539
2	8	1409
3	10	1353
4	13	1321
5	15	1246
6	17	1217
7	19	1225
8	22	1237
9	24	1223
10	27	1212
11	32	1302
12	33	1264
13	37	1293
14	39	1282
15	41	1267
16	44	1273
17	47	1263
18	49	1240
19	50	1210
20	53	1221
21	55	1214
22	57	1202
23	60	1196
24	62	1189
25	64	1184
26	68	1192
27	70	1184
28	72	1171
29	73	1150
30	76	1149
31	79	1155
32	80	1141
33	82	1134
34	86	1143
35	88	1142
36	90	1136
37	94	1142
38	96	1137
39	97	1121
40	99	1119
41	102	1118
42	104	1111
43	109	1131
44	111	1129
45	113	1117
46	115	1111
47	117	1109
48	120	1106
49	121	1095
50	124	1099
51	127	1102
52	132	1119
53	137	1132
54	138	1119
55	140	1113
56	143	1114
57	146	1114
58	148	1107
59	150	1104
60	152	1095
61	153	1087
62	156	1084
63	159	1085
64	161	1081
65	163	1074
66	165	1071
67	168	1069
68	170	1064
69	173	1064
70	175	1062
71	179	1064
72	182	1065
73	185	1068
74	187	1065
75	190	1065
76	194	1067
77	199	1077
78	203	1084
79	207	1089
80	210	1087
81	212	1085
82	216	1086
83	217	1078
84	219	1070
85	221	1066
86	224	1065
87	228	1068
88	232	1074
89	235	1070
90	237	1069
91	240	1065
92	241	1058
93	243	1051
94	245	1048
95	248	1047
96	251	1044
97	253	1040
98	257	1040
99	259	1036
100	261	1032
101	264	1031
102	266	1027
103	268	1023
104	271	1023
105	273	1016
106	275	1012
107	277	1006
108	279	1003
109	281	999
110	284	997
111	286	990
112	289	992
113	291	987
114	294	985
115	297	985
116	299	981
117	301	977
118	304	975
119	306	970
120	308	965
121	310	961
122	313	960
123	315	957
124	317	951
125	318	946
126	321	945
127	323	939
128	328	944
129	330	941
130	332	937
131	334	932
132	336	929
133	339	927
134	341	924
135	344	922
136	346	916
137	347	911
138	349	908
139	351	903
140	354	902
141	356	898
142	359	897
143	365	902
144	371	909
145	378	917
146	385	926
147	391	931
148	397	935
149	401	936
150	406	939
151	411	941
152	416	944
153	422	948
154	427	951
155	434	957
156	439	959
157	444	962
158	448	961
159	450	958
160	453	955
161	457	954
162	460	952
163	462	948
164	464	943
165	467	941
166	470	937
167	472	932
168	473	927
169	476	925
170	478	921
171	480	916
172	483	913
173	486	911
174	491	913
175	496	913
176	502	917
177	508	919
178	513	920
179	518	921
180	523	922
181	528	923
182	533	923
183	537	923
184	542	922
185	546	922
186	552	924
187	557	925
188	561	923
189	563	919
190	566	916
191	568	912
192	571	908
193	574	905
194	576	902
195	580	899
196	583	896
197	584	891
198	586	887
199	590	885
200	592	880
201	594	876
202	596	873
203	600	870
204	602	866
205	604	862
206	607	859
207	609	855
208	616	858
209	624	862
210	627	858
211	630	856
212	635	855
213	636	850
214	639	848
215	642	844
216	644	840
217	651	842
218	656	842
219	660	840
220	661	835
221	665	833
222	667	829
223	670	826
224	673	823
225	675	818
226	677	814
227	680	811
228	683	808
229	684	803
230	685	798
231	689	796
232	690	791
233	693	787
234	695	783
235	698	781
236	699	776
237	701	772
238	704	769
239	706	765
240	708	761
241	710	757
242	714	755
243	716	752
244	720	749
245	724	748
246	727	745
247	730	742
248	733	739
249	735	735
250	738	732
251	740	728
252	741	723
253	744	720
254	747	717
255	749	713
256	750	709
257	753	707
258	756	703
259	758	700
260	761	697
261	763	693
262	766	690
263	769	687
264	771	684
265	775	681
266	779	679
267	781	676
268	784	674
269	787	670
270	789	667
271	792	664
272	795	661
273	797	658
274	800	655
275	804	652
276	806	649
277	807	644
278	810	642
279	812	638
280	815	635
281	820	634
282	824	632
283	828	629
284	830	626
285	833	623
286	836	621
287	839	618
288	842	615
289	844	611
290	846	607
291	849	604
292	852	602
293	855	599
294	858	596
295	861	593
296	863	590
297	866	587
298	869	584
299	871	580
300	872	577
301	876	574
302	878	571
303	880	567
304	883	565
305	886	562
306	889	558
307	892	556
308	894	552
309	896	549
310	899	546
311	901	543
312	903	539
313	904	535
314	907	532
315	909	529
316	911	526
317	913	522
318	916	520
319	920	517
320	923	515
321	926	512
322	928	508
323	931	505
324	933	502
325	935	499
326	936	495
327	940	492
328	942	489
329	944	486
330	947	483
331	949	480
332	951	477
333	953	473
334	956	471
335	958	467
336	960	464
337	962	461
338	966	459
339	968	455
340	971	453
341	974	450
342	976	446
343	979	444
344	982	441
345	984	438
346	986	434
347	990	432
348	992	429
349	994	426
350	998	423
351	1000	420
352	1002	417
353	1005	414
354	1007	411
355	1009	408
356	1011	405
357	1014	402
358	1017	399
359	1022	397
360	1025	394
361	1026	391
