iter	Logloss
0	0.6862830146
1	0.682074258
2	0.6758587723
3	0.6715762284
4	0.6676515781
5	0.6631237566
6	0.6593547627
7	0.6556611011
8	0.6522238411
9	0.6489275696
10	0.6453852582
11	0.6422390473
12	0.6392433017
13	0.6363430924
14	0.634144502
15	0.6327295914
16	0.6300527838
17	0.6287311807
18	0.6260687823
19	0.6242709538
20	0.6232419957
21	0.6218153032
22	0.6202749727
23	0.6185241413
24	0.6171809261
25	0.6155038838
26	0.6140395368
27	0.6132588384
28	0.6123631301
29	0.6112634365
30	0.6100042725
31	0.6089667197
32	0.6080174684
33	0.606686748
34	0.6056100586
35	0.6048570946
36	0.6036806534
37	0.602841358
38	0.6016386514
39	0.600821171
40	0.5998528388
41	0.5993110105
42	0.5981190334
43	0.5971898807
44	0.5961680618
45	0.5949331915
46	0.5943727014
47	0.5935212405
48	0.5925948276
49	0.5915304142
50	0.5907495943
51	0.5896304397
52	0.5885981246
53	0.5881768034
54	0.5872487327
55	0.5867690167
56	0.5862405005
57	0.5855612005
58	0.5850375867
59	0.5844155572
60	0.5833678667
61	0.5826618936
62	0.582078079
63	0.5812297835
64	0.5808245846
65	0.5800698593
66	0.5796054005
67	0.5788052174
68	0.5779540606
69	0.5771780136
70	0.5764346682
71	0.5759409202
72	0.575060285
73	0.5745259054
74	0.573547861
75	0.5728668025
76	0.572209748
77	0.5711976461
78	0.5706849277
79	0.5700199271
80	0.5690229194
81	0.5685538211
82	0.5674797394
83	0.5664673048
84	0.5657146
85	0.5652420139
86	0.5646520613
87	0.5639394353
88	0.5634397831
89	0.5629049229
90	0.5625960919
91	0.5620004068
92	0.5612951582
93	0.5609830316
94	0.5606441652
95	0.5598150345
96	0.5592545991
97	0.5586565242
98	0.5582655968
99	0.5573880923
100	0.5569749703
101	0.5565958084
102	0.5560640793
103	0.555727256
104	0.555090237
105	0.554218336
106	0.5536829402
107	0.5533714391
108	0.5527103056
109	0.5524834668
110	0.5515997922
111	0.5508492236
112	0.5504431767
113	0.5497319216
114	0.5491717419
115	0.5485025915
116	0.5481006651
117	0.5476423427
118	0.5469735796
119	0.5466359482
120	0.5461647468
121	0.5458833035
122	0.5450774003
123	0.5448295805
124	0.5441142663
125	0.5434446838
126	0.5432913318
127	0.5428837157
128	0.5425741748
129	0.5424142829
130	0.5421923842
131	0.5414104971
132	0.5410279546
133	0.5403572513
134	0.5400648916
135	0.5395304204
136	0.5391942083
137	0.5387003278
138	0.5382054815
139	0.5378528119
140	0.5372163612
141	0.5367727666
142	0.5362398129
143	0.5358756305
144	0.5355922973
145	0.5349875262
146	0.5344903218
147	0.533655996
148	0.533040614
149	0.5323639948
150	0.5319744489
151	0.5313342552
152	0.5305704516
153	0.5300102265
154	0.5293694276
155	0.5288877899
156	0.5284706013
157	0.5278384729
158	0.5272819375
159	0.5269033784
160	0.52616015
161	0.525612233
162	0.5247172937
163	0.5242338671
164	0.5238233561
165	0.5231952686
166	0.5224229209
167	0.521763872
168	0.5211613616
169	0.5206107867
170	0.5199185084
171	0.5192572197
172	0.5184813813
173	0.5182186644
174	0.5177047987
175	0.5174376644
176	0.5171192205
177	0.5167935536
178	0.5164413722
179	0.5161518686
180	0.515351175
181	0.5149315621
182	0.5140004102
183	0.5132874442
184	0.5123937978
185	0.5120138986
186	0.5113893104
187	0.5110845433
188	0.5103805325
189	0.5097651859
190	0.5091449669
191	0.5088356796
192	0.5081164833
193	0.5076750271
194	0.507112859
195	0.506571298
196	0.5058979484
197	0.5054572897
198	0.5047161697
199	0.5043396511
200	0.5037987703
201	0.5031870557
202	0.5025323059
203	0.5023850051
204	0.5015611769
205	0.501182818
206	0.5004269778
207	0.5001819902
208	0.4996905827
209	0.4991057873
210	0.4986816229
211	0.4980827623
212	0.497459671
213	0.4968524655
214	0.4963902317
215	0.4955274148
216	0.4946228506
217	0.4938207062
218	0.4932499711
219	0.4928002537
220	0.4921686769
221	0.4916627626
222	0.490982908
223	0.489986995
224	0.4895557495
