,CUSTOMER_ID,ANCHOR_CUTOFF,NEXT_ANCHOR_CUTOFF,has_order,window_adds,window_removes,window_purchases,shipping_time,window_total_profit,window_total_volume,window_num_unique_materials,total_order_quantity,sales_office_desc,mode_distribution_mode,mode_cold_drink_channel,mode_sub_trade_channel,mode_most_frequent_event,mode_device_category,mode_device_brand,mode_device_os,mode_pack_type,mode_trade_mark,mode_flavour,mode_bev_cat,mode_pack_size_oz,scheduled_frequency
11061,501407255,2024-06-07 11:30:00,2024-06-14 11:30:00,1,0,0,0,24hrs,3771.580000000001,270.0,10,195.0,,,,,,,,,Plastic Bottle - Other,Oliver Originals,Vanilla Latte,CORE SPARKLING,0.0,7
11062,501485330,2024-06-06 11:30:00,2024-06-13 11:30:00,1,0,0,0,24hrs,22142.129999999976,3489.0,17,7134.0,,,,,,,,,Aluminum Can,Oliver Originals,Vanilla Latte,CORE SPARKLING,12.0,7
11063,501199572,2025-05-22 14:00:00,2025-06-19 14:00:00,0,0,0,0,24hrs,50.13,2.0,1,,,,,,,,,,Plastic Bottle - Contour,Oliver Originals,Vanilla Latte,CORE SPARKLING,20.0,28
11064,501721645,2025-02-05 15:30:00,2025-02-12 15:30:00,1,1467,0,163,24hrs,225815.93999999724,13482.0,44,10332.0,"Wilsonville, OR",OFS,Restaurant,Pizza Fast Food,purchase,desktop,Apple,Macintosh,Bag-In-Box,Oliver Originals,Vanilla Latte,CORE SPARKLING,0.0,7
11065,600066892,2025-02-03 15:00:00,2025-02-10 15:00:00,1,0,0,0,24hrs,99260.6399999992,17436.0,65,26928.0,,,,,,,,,Aluminum Can,Oliver Originals,Vanilla Latte,CORE SPARKLING,12.0,7
11066,501370551,2025-04-21 15:00:00,2025-05-19 15:00:00,1,0,0,0,24hrs,0.0,0.0,1,4.0,"Idaho Falls, ID",OFS,Restaurant,Dining,pay_invoice_click,desktop,Mozilla,Windows,0,0,0,0,0.0,28
11067,501661319,2025-02-05 15:00:00,2025-02-12 15:00:00,0,0,0,0,24hrs,0.0,0.0,1,,,,,,,,,,0,0,0,0,0.0,7
11068,501100911,2024-07-05 11:00:00,2024-07-12 11:00:00,0,0,0,0,24hrs,291.22999999999996,8.0,3,,,,,,,,,,Bag-In-Box,Oliver Originals,Vanilla Latte,CORE SPARKLING,640.0,7
11069,501590457,2024-12-18 12:00:00,2024-12-25 12:00:00,0,0,0,0,24hrs,3685.2599999999993,270.0,11,,,,,,,,,,Aluminum Can,Oliver Originals,Vanilla Latte,CORE SPARKLING,12.0,7
11070,501665906,2024-06-27 10:30:00,2024-07-04 10:30:00,0,0,0,0,24hrs,1169.3,74.0,26,,,,,,,,,,Plastic Bottle - Other,Fizz Factory,Vanilla Latte,CORE SPARKLING,20.0,7
11071,600080380,2024-12-18 12:00:00,2025-01-01 12:00:00,0,0,0,0,24hrs,5165.790000000005,612.0,20,,"Reno, NV",OFS,Attraction,Casino,page_view,desktop,Google,Windows,Bag-In-Box,Oliver Originals,Vanilla Latte,CORE SPARKLING,320.0,14
11072,501678754,2024-07-18 14:00:00,2024-07-25 14:00:00,1,0,0,0,24hrs,55869.14000000001,4297.0,27,840.0,,,,,,,,,Bag-In-Box,Oliver Originals,Vanilla Latte,CORE SPARKLING,20.0,7
11073,501522622,2024-07-02 15:30:00,2024-07-09 15:30:00,0,0,0,0,48hrs,220.29,6.0,2,,,,,,,,,,CO2 Tank,Fizz Factory,Tangerine,OTHER NONALCOHOLIC BEVERAGES,0.0,7
11074,501739262,2024-10-23 12:00:00,2024-11-06 12:00:00,0,0,0,0,24hrs,210.68000000000004,18.0,9,,,,,,,,,,Aluminum Can,Bobby's Bottles,Berry Chai,ENERGY DRINKS,16.0,14
11075,501676427,2025-04-25 15:00:00,2025-05-23 15:00:00,0,0,0,0,24hrs,85.58,4.0,2,,,,,,,,,,Plastic Bottle - Contour,Oliver Originals,Vanilla Latte,CORE SPARKLING,20.0,28
11076,500396844,2025-01-24 13:30:00,2025-01-31 13:30:00,0,0,0,0,24hrs,2184.370000000001,110.0,13,,,,,,,,,,Glass Bottle  - Contour,Oliver Originals,Vanilla Latte,CORE SPARKLING,0.0,7
11077,501762028,2024-12-09 14:00:00,2024-12-16 14:00:00,0,0,0,0,24hrs,3176.639999999998,273.0,54,,,,,,,,,,Aluminum Can,Bobby's Bottles,Strawberry Tart,ENERGY DRINKS,16.0,7
11078,501434307,2025-03-28 11:00:00,2025-04-25 11:00:00,0,0,0,0,24hrs,934.8100000000001,43.0,11,,,,,,,,,,Plastic Bottle - Other,Fizz Factory,Vanilla Latte,CORE SPARKLING,20.0,28
11079,501434307,2025-03-07 11:00:00,2025-04-04 11:00:00,1,0,0,0,24hrs,934.8100000000001,43.0,11,32.0,,,,,,,,,Plastic Bottle - Other,Fizz Factory,Vanilla Latte,CORE SPARKLING,20.0,28
11080,501370370,2025-04-14 16:30:00,2025-05-12 16:30:00,0,0,0,0,48hrs,790.7600000000001,27.0,4,,,,,,,,,,CO2 Tank,Fizz Factory,Tangerine,OTHER NONALCOHOLIC BEVERAGES,0.0,28
11081,501805808,2025-05-08 12:00:00,2025-05-15 12:00:00,1,17,1,1,24hrs,0.0,0.0,1,14.0,"Reno, NV",Sideload,Institution,University,begin_checkout,desktop,Google,Windows,0,0,0,0,0.0,7
11082,500654899,2025-03-26 15:30:00,2025-04-02 15:30:00,0,0,0,0,48hrs,4094.660000000002,590.0,11,,,,,,,,,,Glass Bottle  - Other,Grandma's Pantry,Vanilla Latte,CORE SPARKLING,0.0,7
11083,501733084,2024-10-24 15:30:00,2024-10-31 15:30:00,0,0,0,0,24hrs,237.48,16.0,6,,,,,,,,,,Plastic Bottle - Other,Fizz Factory,Vanilla Raspberry,PACKAGED WATER (PLAIN & ENRICHED),20.0,7
11084,501778804,2025-01-29 10:30:00,2025-02-05 10:30:00,0,0,0,0,24hrs,0.0,0.0,1,,,,,,,,,,0,0,0,0,0.0,7
11085,501671032,2024-06-11 15:00:00,2024-06-18 15:00:00,0,0,0,0,48hrs,440.97,22.0,6,,,,,,,,,,Plastic Bottle - Other,Pete's Popcorn,Vanilla Raspberry,CORE SPARKLING,20.0,7
11086,501538305,2025-04-23 08:00:00,2025-05-21 08:00:00,0,0,0,0,24hrs,0.0,0.0,1,,"Twin Falls, ID",Sideload,Restaurant,Dining,button_click,desktop,Microsoft,Windows,0,0,0,0,0.0,28
11087,500483957,2024-07-08 11:00:00,2024-07-22 11:00:00,0,0,0,0,24hrs,209.94,6.0,1,,"Boise, ID",Sideload,Restaurant,Mexican Fast Food,page_view,desktop,Google,Windows,CO2 Tank,Fizz Factory,Tangerine,OTHER NONALCOHOLIC BEVERAGES,0.0,14
11088,501135058,2024-07-18 11:00:00,2024-07-25 11:00:00,1,42,0,7,24hrs,10630.799999999997,490.0,8,240.0,"Bellevue, WA",Sideload,Restaurant,Restaurant,view_item_list,desktop,Apple,Macintosh,Bag-In-Box,Fizz Factory,Tangerine,OTHER NONALCOHOLIC BEVERAGES,23.0,7
11089,501250492,2025-05-05 17:00:00,2025-05-19 17:00:00,0,0,0,0,,2556.98,146.0,10,,,,,,,,,,Plastic Bottle - Other,Oliver Originals,Vanilla Latte,CORE SPARKLING,20.0,14
11090,600072917,2024-06-20 14:00:00,2024-06-27 14:00:00,0,0,0,0,24hrs,5407.38,468.0,4,,,,,,,,,,Plastic Bottle - Other,Sam's,Chocolate Fudge,JUICES/NECTARS,10.0,7
11091,501250492,2025-05-05 17:00:00,2025-06-02 17:00:00,0,0,0,0,,2556.98,146.0,10,,,,,,,,,,Plastic Bottle - Other,Oliver Originals,Vanilla Latte,CORE SPARKLING,20.0,28
11092,501480954,2025-04-21 17:00:00,2025-05-05 17:00:00,1,0,0,0,,5793.9200000000155,850.336,21,820.0,,,,,,,,,Plastic Bottle - Other,Blueberry Hill,Vanilla Raspberry,PACKAGED WATER (PLAIN & ENRICHED),0.0,14
11093,501724049,2025-04-02 15:00:00,2025-04-09 15:00:00,1,0,0,0,24hrs,4864.2300000000005,405.0,46,348.0,,,,,,,,,Aluminum Can,Bobby's Bottles,Matcha,ENERGY DRINKS,16.0,7
11094,501520594,2025-02-11 11:00:00,2025-03-11 11:00:00,1,1155,0,165,24hrs,0.0,0.0,1,10.0,"Bellevue, WA",Sideload,Restaurant,Restaurant,button_click,desktop,Apple,Macintosh,0,0,0,0,0.0,28
