,CUSTOMER_ID,ANCHOR_CUTOFF,NEXT_ANCHOR_CUTOFF,SALES_OFFICE_DESCRIPTION,DISTRIBUTION_MODE_DESCRIPTION,COLD_DRINK_CHANNEL_DESCRIPTION,CUSTOMER_SUB_TRADE_CHANNEL_DESCRIPTION,DEVICE_CATEGORY,DEVICE_MOBILE_BRAND_NAME,DEVICE_OPERATING_SYSTEM,ORDER_QUANTITY,ORDER_TYPE,PLANT_ID,WINDOW_FREQUENCY,SHIPPING_CONDITION_TIME,total_adds,total_removes,has_order,is_abandoned,total_profit,total_volume,PACK_TYPE_DESC,TRADE_MARK_DESC,FLAVOUR_DESC,BEV_CAT_DESC,PACK_SIZE_OZ
10195,501698904,2024-11-20 18:00:00,2024-11-27 18:00:00,,,,,,,,,,G111,7,72hrs,0.0,0.0,0,0,821.96,28.0,Bag-In-Box,Oliver Originals,Vanilla Latte,CORE SPARKLING,320.0
10196,500280580,2025-01-24 15:00:00,2025-01-31 15:00:00,,,,,,,,,,G236,7,24hrs,0.0,0.0,0,0,665.4900000000001,54.0,Plastic Bottle - Other,Fizz Factory,Ginger Snap,TEA,18.5
10197,600586217,2024-06-12 11:30:00,2024-06-26 11:30:00,,,,,,,,4.0,SALES REP,G292,14,24hrs,0.0,0.0,1,0,6001.260000000004,515.0419999999999,Aluminum Can,Fizz Factory,Vanilla Latte,CORE SPARKLING,16.0
10198,501657038,2024-11-18 18:00:00,2024-11-25 18:00:00,"Draper, UT",Sideload,Restaurant,Dining,desktop,Apple,Macintosh,2.0,MYCOKE360,G111,7,72hrs,0.0,0.0,1,0,2874.130000000003,207.0,Plastic Bottle - Other,Fizz Factory,Caramel Macchiato,DAIRY/SOY BEVERAGES,14.0
10199,501274074,2024-07-15 16:00:00,2024-07-22 16:00:00,,,,,,,,2.0,SALES REP,G294,7,24hrs,0.0,0.0,1,0,3313.270000000003,428.0,Aluminum Can,Fizz Factory,Vanilla Latte,ENERGY DRINKS,12.0
10200,501737075,2024-10-29 11:00:00,2024-11-12 11:00:00,"Bellevue, WA",OFS,Restaurant,Fast Food,desktop,Google,Windows,,,G291,14,24hrs,98.0,0.0,0,1,1660.2899999999997,119.0,Plastic Bottle - Other,Oliver Originals,Vanilla Latte,CORE SPARKLING,20.0
10201,501695824,2025-02-07 15:30:00,2025-02-21 15:30:00,,,,,,,,,,G221,14,24hrs,0.0,0.0,0,0,262.85,5.0,CO2 Tank,Fizz Factory,Tangerine,OTHER NONALCOHOLIC BEVERAGES,0.0
10202,501502820,2024-07-17 11:00:00,2024-08-14 11:00:00,"Bellevue, WA",Sideload,Restaurant,Restaurant,mobile,Apple,iOS,5.0,MYCOKE360,G291,28,24hrs,200.0,40.0,1,0,614.7699999999999,50.0,Aluminum Can,Oliver Originals,Vanilla Latte,CORE SPARKLING,12.0
10203,501631504,2025-01-24 11:00:00,2025-02-21 11:00:00,,,,,,,,,,G291,28,24hrs,0.0,0.0,0,0,212.73000000000002,11.0,Plastic Bottle - Other,Blueberry Hill,Vanilla Raspberry,PACKAGED WATER (PLAIN & ENRICHED),20.0
10204,500839385,2025-02-03 15:00:00,2025-03-03 15:00:00,,,,,,,,,,G236,28,24hrs,0.0,0.0,0,0,693.7900000000002,84.0,Plastic Bottle - Other,Pete's Popcorn,Vanilla Latte,CORE SPARKLING,20.0
