iter	Logloss
0	0.6866864173
1	0.6815651478
2	0.675906917
3	0.6719112177
4	0.6674371825
5	0.6630778512
6	0.6603979258
7	0.6562873207
8	0.6526761163
9	0.6493265793
10	0.6453017706
11	0.6423154391
12	0.6391571386
13	0.6364093418
14	0.63349981
15	0.6316550934
16	0.6292752026
17	0.6278859958
18	0.625155853
19	0.6232127798
20	0.621646889
21	0.6199015019
22	0.6178185565
23	0.6162478876
24	0.6145390296
25	0.6128915575
26	0.6112308296
27	0.6103077149
28	0.6086734748
29	0.6073123345
30	0.6061522501
31	0.6051910083
32	0.6042433948
33	0.6031689264
34	0.6020562314
35	0.6010680986
36	0.5998047374
37	0.5983756217
38	0.5971992124
39	0.5963342226
40	0.594956032
41	0.5943283558
42	0.5931257049
43	0.5921256339
44	0.5911589091
45	0.5899473405
46	0.5892622833
47	0.588436063
48	0.5872406463
49	0.5865273592
50	0.5854175855
51	0.5846561904
52	0.5839218359
53	0.5833090749
54	0.5821615784
55	0.5816618198
56	0.5810874835
57	0.5800114804
58	0.5793098338
59	0.5786028835
60	0.5781677469
61	0.5776555137
62	0.5771357665
63	0.5765698037
64	0.5761491156
65	0.5757762098
66	0.5753397642
67	0.5739119459
68	0.5731607361
69	0.5724064341
70	0.5716206551
71	0.57046736
72	0.5692320298
73	0.5686069237
74	0.5679144645
75	0.5672139643
76	0.5667500098
77	0.5658822754
78	0.5651409492
79	0.564313126
80	0.5634735941
81	0.5622752703
82	0.5617040864
83	0.5606069494
84	0.5600923826
85	0.5594707201
86	0.558962168
87	0.5580422802
88	0.5574030759
89	0.5565435361
90	0.5561964345
91	0.5559155709
92	0.5553715852
93	0.5549813405
94	0.5540845066
95	0.5532741674
96	0.5527138722
97	0.5523506093
98	0.5518133318
99	0.5510431293
100	0.5506036934
101	0.550040532
102	0.5496529843
103	0.5489612909
104	0.5482141383
105	0.5473594608
106	0.546788954
107	0.5460266682
108	0.5456488631
109	0.5448641616
110	0.543969464
111	0.5434709114
112	0.5428179866
113	0.5422192714
114	0.5418062933
115	0.5411554406
116	0.5406249121
117	0.5403506
118	0.5400392881
119	0.5395554064
120	0.5391391334
121	0.5384800348
122	0.5378730918
123	0.5374000892
124	0.5370064804
125	0.5364031649
126	0.5357725479
127	0.5354834575
128	0.5345647518
129	0.534159911
130	0.5338049561
131	0.5332837195
132	0.5328503014
133	0.5322739747
134	0.5316234943
135	0.5309914236
136	0.530795893
137	0.5304588231
138	0.5300177809
139	0.5296118191
140	0.5285803772
141	0.5280491845
142	0.5273018349
143	0.5271208916
144	0.5265902665
145	0.5263209068
146	0.5257628401
147	0.5253077691
148	0.5247863924
149	0.5243112314
150	0.5238282627
151	0.5233460643
152	0.522578405
153	0.5218962716
154	0.5212708836
155	0.5207231285
156	0.5200424647
157	0.519383231
158	0.5188918206
159	0.5184755871
160	0.5178818112
161	0.5170751335
162	0.51598531
163	0.5151128108
164	0.514227667
165	0.5137644452
166	0.5132682644
167	0.5128097592
168	0.5122321616
169	0.5119692447
170	0.5114929105
171	0.5110074615
172	0.5104195131
173	0.5099078792
174	0.5091944406
175	0.5086718448
176	0.5082577903
177	0.507882784
178	0.5074362774
179	0.5068821356
180	0.5061617225
181	0.5054808867
182	0.5048642023
183	0.5042199488
184	0.5036680104
185	0.5030794121
186	0.502530493
187	0.5018310546
188	0.500869656
189	0.5002623664
190	0.4996346863
191	0.4992680257
192	0.4983823654
193	0.4977573722
194	0.4970262343
195	0.4961912431
196	0.4955978415
197	0.4949559569
198	0.494375632
199	0.4938694203
200	0.4935173188
201	0.4931883368
202	0.4925219244
203	0.4917699205
204	0.4909701003
205	0.4905475884
206	0.4899782452
207	0.4895886158
208	0.4889287016
209	0.4882256616
210	0.4875137084
211	0.4871456402
212	0.4867933181
213	0.4862247228
214	0.485673235
215	0.484915099
216	0.4844895098
217	0.483889278
218	0.4831261872
219	0.4823525734
220	0.4816679664
221	0.4809610684
222	0.4804043328
223	0.4800748521
224	0.4793374287
225	0.478774319
226	0.478207516
227	0.4777243082
228	0.4770961949
229	0.476558896
230	0.4759065747
231	0.4752886929
232	0.4743693363
233	0.4738050142
234	0.4733260563
235	0.4729068107
236	0.4722182004
237	0.4714398833
238	0.4708190527
239	0.4702412685
240	0.4696120669
241	0.4691708016
242	0.4684501445
243	0.4678784802
244	0.4673998415
245	0.4668791577
246	0.4663030575
247	0.4657684796
248	0.4649233196
249	0.4642756159
250	0.4639041759
251	0.4632517241
252	0.4628518036
253	0.4621971037
254	0.4617373319
255	0.4613439162
256	0.4611568056
257	0.4606441132
258	0.4602485201
259	0.4596850588
260	0.4591527346
261	0.4585931816
262	0.4582108005
263	0.4579252446
264	0.4573958475
265	0.4567097572
266	0.4562081367
267	0.4558019264
268	0.4552138297
269	0.4547022082
270	0.4540327108
271	0.453594197
272	0.4532132993
273	0.45272879
274	0.4522373459
275	0.4517868447
276	0.4511812787
277	0.4502971689
278	0.449573754
279	0.4489541526
280	0.4482848798
281	0.4481931686
282	0.4478707042
283	0.4474438088
284	0.4471675291
285	0.4466911783
286	0.4463803773
287	0.4458368041
288	0.4453178286
289	0.4448874262
290	0.4443935699
291	0.4439141754
292	0.4434116264
293	0.4425608908
294	0.4419001397
295	0.4411752465
296	0.4406045921
297	0.4402703805
298	0.4399976755
299	0.4395528616
300	0.4393287748
301	0.438985674
302	0.4386015778
303	0.4382498819
304	0.4380341289
305	0.4373122571
306	0.4366619293
307	0.4362299103
308	0.4357460972
309	0.4353918563
310	0.4350006959
311	0.4345096274
312	0.4341291358
313	0.4338317809
314	0.4331878322
315	0.4330545383
316	0.4327820986
317	0.432251279
318	0.4317055096
319	0.4312307414
320	0.4304504968
321	0.4298864005
322	0.4295350211
323	0.4288770433
324	0.4283458891
325	0.4281305424
326	0.4276514772
327	0.4273972414
328	0.4269183381
329	0.4261632206
330	0.4258093569
331	0.425392151
332	0.4251101583
333	0.4242135018
334	0.4235796427
335	0.4233914936
336	0.4230478243
337	0.4226505502
338	0.4221713162
339	0.4217833188
340	0.4210527274
341	0.4204488846
342	0.4202769876
343	0.4202201351
344	0.4197484546
345	0.419217646
346	0.419158948
347	0.4187231556
348	0.4182574108
349	0.4178618296
350	0.4173007772
351	0.4169390495
352	0.4164847077
353	0.4160551915
354	0.4157118156
355	0.4153906547
356	0.4149864351
357	0.4143852584
358	0.4139164956
359	0.4138252063
360	0.4133748326
361	0.4129538685
362	0.4124480601
363	0.4120776028
364	0.4116095679
365	0.4111832124
366	0.4106849453
367	0.4101856043
368	0.4098369427
369	0.4094574222
370	0.4089681761
371	0.4087387301
372	0.4084251067
373	0.4082001032
374	0.4077786048
375	0.4075750445
376	0.4075206328
377	0.407342303
378	0.4070372608
379	0.4062617046
380	0.4059200992
381	0.4058889777
382	0.4052317413
383	0.4047746084
384	0.4043691818
385	0.4040295605
386	0.4033543506
387	0.4030395783
388	0.4026420361
389	0.4020931386
390	0.4018857974
391	0.4014521895
392	0.4011079546
393	0.4007919594
394	0.4002783685
395	0.3999016185
396	0.3997376614
397	0.3990579055
398	0.3985938019
399	0.3980596759
400	0.3976353442
401	0.3976034344
402	0.3971456878
403	0.3967832501
404	0.3961270675
405	0.3956028935
406	0.3953026793
407	0.3952404117
408	0.3949734386
409	0.3946013281
410	0.3945613218
411	0.3941496689
412	0.39385949
413	0.3934103072
414	0.3928082356
415	0.3925404967
416	0.3920513077
417	0.3915419308
418	0.3911317988
419	0.390885579
420	0.3903305368
421	0.3899096739
422	0.389883125
423	0.3892987546
424	0.3889575649
425	0.388543851
426	0.3880057844
427	0.3876908853
428	0.3873431064
429	0.3869737987
430	0.3867292799
431	0.3864360114
432	0.3860568792
433	0.385779406
434	0.3857182664
435	0.3853636672
436	0.3848506074
437	0.3846320347
438	0.3842487566
439	0.3840080328
440	0.3836355663
441	0.3834495547
442	0.383201549
443	0.3828186987
444	0.3822760193
445	0.3818501121
446	0.3815708976
447	0.3813536943
448	0.3811182035
449	0.3810731416
450	0.380585009
451	0.3803895989
452	0.3802213401
453	0.3799126554
454	0.3794506911
455	0.3790193766
456	0.3786864495
457	0.3782951511
458	0.3778930902
459	0.3774966531
460	0.3771140341
461	0.3767898368
462	0.3767474858
463	0.3765326275
464	0.3762527268
465	0.375814682
466	0.3754098331
467	0.3751807355
468	0.3749197763
469	0.3745646428
470	0.374340467
471	0.3739862336
472	0.3735100003
473	0.373238102
474	0.3728367228
475	0.3727895778
476	0.3724641789
477	0.3721541233
478	0.3716097881
479	0.3712050942
480	0.3707817162
481	0.3704875115
482	0.3702040403
483	0.370005816
484	0.3696759109
485	0.3692275985
486	0.3687859894
487	0.3685262898
488	0.3681412959
489	0.3677975601
490	0.3673037396
491	0.3669116362
492	0.3668859996
493	0.3664853774
494	0.3659837179
495	0.3656359489
496	0.3654673467
497	0.3652631134
498	0.3646897051
499	0.3644876812
