iter	Passed	Remaining
0	9	4653
1	17	4237
2	21	3576
3	23	2905
4	24	2448
5	27	2278
6	30	2134
7	32	2013
8	35	1909
9	37	1851
10	39	1744
11	41	1677
12	44	1649
13	45	1593
14	48	1560
15	51	1562
16	60	1710
17	68	1826
18	74	1874
19	79	1898
20	80	1846
21	82	1793
22	84	1754
23	87	1728
24	88	1690
25	90	1645
26	92	1616
27	95	1608
28	97	1588
29	100	1571
30	102	1552
31	104	1533
32	106	1502
33	109	1499
34	114	1518
35	117	1510
36	119	1499
37	122	1487
38	125	1485
39	128	1474
40	130	1462
41	133	1458
42	135	1436
43	138	1434
44	144	1457
45	152	1506
46	158	1528
47	161	1516
48	163	1504
49	166	1500
50	169	1488
51	171	1479
52	175	1476
53	177	1463
54	178	1447
55	180	1434
56	184	1433
57	186	1423
58	188	1411
59	192	1409
60	194	1397
61	196	1385
62	199	1385
63	202	1376
64	203	1363
65	206	1354
66	210	1360
67	213	1355
68	217	1355
69	219	1347
70	221	1339
71	225	1338
72	226	1327
73	229	1319
74	232	1317
75	234	1308
76	236	1300
77	240	1301
78	242	1292
79	245	1289
80	249	1289
81	251	1281
82	254	1276
83	256	1271
84	259	1268
85	262	1261
86	264	1256
87	267	1250
88	268	1241
89	271	1235
90	273	1229
91	279	1238
92	283	1238
93	285	1232
94	287	1227
95	289	1218
96	291	1212
97	293	1204
98	296	1201
99	298	1195
100	301	1189
101	303	1183
102	305	1177
103	309	1179
104	312	1174
105	314	1169
106	318	1171
107	322	1169
108	326	1169
109	328	1166
110	331	1160
111	333	1156
112	336	1153
113	338	1147
114	341	1142
115	343	1137
116	345	1131
117	348	1127
118	350	1122
119	353	1118
120	355	1113
121	357	1107
122	358	1100
123	361	1096
124	364	1092
125	365	1084
126	367	1080
127	370	1077
128	371	1069
129	374	1066
130	377	1062
131	383	1067
132	387	1069
133	392	1073
134	397	1074
135	401	1075
136	405	1075
137	409	1074
138	412	1072
139	418	1077
140	424	1081
141	433	1092
142	439	1097
143	445	1102
144	452	1107
145	457	1109
146	460	1105
